National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  sector of institution: 2023-24"

Year,State,Total,Administrative unit only,"Public, 4-year or above","Private not-for-profit, 4-year or above","Private for-profit, 4-year or above","Public, 2-year","Private not-for-profit, 2-year","Private for-profit, 2-year","Public, less-than 2-year","Private not-for-profit, less-than 2-year","Private for-profit, less-than 2-year"
2011-12,Nevada,"173,981",N/A,"126,539","4,100","10,581","16,617",265,"11,435",N/A,N/A,"4,444"
2011-12,New Hampshire,"104,464",N/A,"34,489","39,245","5,054","22,638",448,N/A,N/A,N/A,"2,590"
2011-12,New Jersey,"613,056",N/A,"209,777","85,779","9,632","256,689",859,"11,162","1,141",601,"37,416"
2011-12,New Mexico,"219,161",N/A,"78,244","1,528","10,400","122,960",N/A,"2,944",N/A,N/A,"3,085"
2011-12,New York,"1,738,483",N/A,"489,298","625,430","49,653","472,019","9,340","47,349","5,664","4,401","35,329"
2011-12,North Carolina,"761,915",N/A,"253,249","106,403","24,418","359,556",955,"9,705",N/A,309,"7,320"
2011-12,North Dakota,"71,616",N/A,"51,457","7,664","1,916","9,779",N/A,789,N/A,N/A,11
2011-12,Ohio,"1,003,624",N/A,"414,062","175,399","42,535","303,209","3,626","37,286","15,416",643,"11,448"
2011-12,Oklahoma,"329,251",N/A,"153,575","28,199","7,954","111,479",N/A,"7,380","18,057",N/A,"2,607"
2011-12,Oregon,"382,850",N/A,"131,500","39,863","9,183","189,869",502,"9,609",N/A,N/A,"2,324"
2011-12,Pennsylvania,"1,025,324",N/A,"326,798","337,502","45,304","219,934","15,498","60,034","4,413",197,"15,644"
2011-12,Rhode Island,"105,323",N/A,"29,888","46,434",N/A,"24,616",198,"2,459",N/A,N/A,"1,728"
2011-12,South Carolina,"340,364",N/A,"123,023","42,056","18,465","143,839","1,050","6,658",49,762,"4,462"
2011-12,South Dakota,"74,586",N/A,"49,115","8,611","7,876","7,838",568,578,N/A,N/A,N/A
2011-12,Tennessee,"462,764",N/A,"166,829","91,584","25,468","150,380","2,834","16,958",N/A,154,"8,557"
2011-12,Texas,"2,178,086",N/A,"759,099","153,845","49,890","1,102,140","7,032","54,933",N/A,942,"50,205"
2011-12,Utah,"376,101",N/A,"185,635","89,916","20,629","65,526","2,574","6,592","3,379",N/A,"1,850"
2011-12,Vermont,"60,320",N/A,"24,693","23,672",685,"11,009",N/A,N/A,N/A,N/A,261
2011-12,Virginia,"805,099",N/A,"257,162","159,120","75,212","290,976",737,"16,106",942,352,"4,492"
2011-12,Washington,"535,799",N/A,"222,991","49,538","10,010","234,613","1,065","8,786",635,47,"8,114"
2011-12,West Virginia,"246,483",N/A,"86,491","8,318","112,395","31,238",N/A,"5,264","1,873",210,694
2011-12,Wisconsin,"499,514",N/A,"213,300","85,721","23,004","168,253",N/A,"6,054",N/A,259,"2,923"
2011-12,Wyoming,"53,434",N/A,"14,707",N/A,209,"36,143",N/A,"2,375",N/A,N/A,N/A
2010-11,Total,"29,507,367",N/A,"9,630,420","4,701,758","2,591,396","10,982,689","75,945","830,881","111,441","27,575","555,262"
2010-11,Alabama,"433,128",N/A,"199,730","29,169","54,015","142,027",983,"5,351",N/A,139,"1,714"
2010-11,Alaska,"59,899",N/A,"50,440",998,"3,347","3,401",49,482,"1,182",N/A,N/A
2010-11,Arizona,"1,261,725",N/A,"153,735","11,438","658,175","391,187",N/A,"31,357","1,981",N/A,"13,852"
2010-11,Arkansas,"235,641",N/A,"113,404","18,809","4,128","91,228","1,874",363,766,N/A,"5,069"
2010-11,California,"3,905,457",N/A,"704,867","342,786","189,165","2,369,432","2,175","163,039","42,234","14,354","77,405"
2010-11,Colorado,"539,127",N/A,"217,469","41,850","94,588","152,065",205,"21,578","8,499",201,"2,672"
2010-11,Connecticut,"278,341",N/A,"81,678","77,525","9,891","82,197",721,"4,477",336,228,"21,288"
2010-11,Delaware,"74,368",N/A,"27,338","20,167",699,"21,653",299,N/A,N/A,N/A,"4,212"
2010-11,District of Columbia,"115,565",N/A,"12,786","89,433","12,045",N/A,46,N/A,N/A,N/A,"1,255"
2010-11,Florida,"1,688,911",N/A,"959,011","250,162","184,598","164,686","1,857","81,134","6,446",618,"40,399"
2010-11,Georgia,"792,222",N/A,"312,123","81,919","90,733","272,773",707,"19,577",N/A,23,"14,367"
2010-11,Hawaii,"102,986",N/A,"36,226","19,182","2,480","40,703",N/A,"3,273",N/A,77,"1,045"
2010-11,Idaho,"129,596",N/A,"69,043","28,421","4,497","23,822",N/A,"3,084",54,N/A,675
2010-11,Illinois,"1,411,000",N/A,"234,270","279,068","130,095","714,219","1,782","19,756",433,"1,601","29,776"
2010-11,Indiana,"631,304",N/A,"280,361","107,108","45,893","174,767",978,"13,237",406,N/A,"8,554"
2010-11,Iowa,"576,698",N/A,"81,663","77,891","256,861","154,937",274,"4,991",N/A,N/A,81
2010-11,Kansas,"311,245",N/A,"119,220","33,022","3,464","140,434","3,510","3,316","1,303",N/A,"6,976"
2010-11,Kentucky,"380,127",N/A,"143,327","44,135","29,594","149,965",263,"12,353",N/A,112,378
2010-11,Louisiana,"352,077",N/A,"170,388","31,846","6,622","118,570","2,405","11,122",N/A,N/A,"11,124"
2010-11,Maine,"95,258",N/A,"41,448","23,894","1,775","24,565",339,890,N/A,N/A,"2,347"
2010-11,Maryland,"514,624",N/A,"205,982","66,660","12,949","204,819",N/A,"9,977",N/A,N/A,"14,237"
2010-11,Massachusetts,"664,755",N/A,"155,148","325,990","7,045","146,851","2,117","5,854",700,N/A,"21,050"
2010-11,Michigan,"945,391",N/A,"348,701","159,591","15,104","385,642",361,"5,364",536,38,"30,054"
2010-11,Minnesota,"631,862",N/A,"166,281","88,738","171,955","195,301",138,"3,256",N/A,713,"5,480"
2010-11,Mississippi,"238,334",N/A,"89,697","20,162",931,"119,418",N/A,"5,707",N/A,N/A,"2,419"
2010-11,Missouri,"626,341",N/A,"172,351","207,331","53,159","165,092","1,824","16,778","1,632",N/A,"8,174"
2010-11,Montana,"68,862",N/A,"46,861","5,440",N/A,"15,050",732,755,N/A,N/A,24
2010-11,Nebraska,"207,227",N/A,"68,593","43,403","3,752","87,993",230,"3,256",N/A,N/A,N/A
2010-11,Nevada,"185,853",N/A,"136,387","4,332","11,103","18,405",184,"11,222",N/A,N/A,"4,220"
2010-11,New Hampshire,"101,540",N/A,"35,313","34,070","6,032","22,883",546,N/A,N/A,N/A,"2,696"
2010-11,New Jersey,"618,232",N/A,"206,987","87,632","10,318","260,571",889,"10,689","1,061",615,"39,470"
2010-11,New Mexico,"225,197",N/A,"78,373","1,386","11,479","125,836",N/A,"3,631",N/A,N/A,"4,492"
2010-11,New York,"1,725,299",N/A,"488,215","615,570","44,403","468,569","11,565","49,687","5,566","4,283","37,441"
2010-11,North Carolina,"768,731",N/A,"255,979","105,325","24,123","365,116",974,"9,371",N/A,312,"7,531"
2010-11,North Dakota,"71,012",N/A,"50,455","7,667","2,688","9,375",N/A,809,N/A,N/A,18
2010-11,Ohio,"1,031,348",N/A,"414,419","175,951","31,216","315,598","4,362","60,056","17,158",742,"11,846"
2010-11,Oklahoma,"330,731",N/A,"152,078","26,726","8,396","119,500",N/A,"6,951","11,903",N/A,"5,177"
2010-11,Oregon,"380,583",N/A,"129,300","39,258","8,354","190,726",331,"9,905",N/A,N/A,"2,709"
2010-11,Pennsylvania,"1,050,331",N/A,"323,202","340,130","52,597","225,010","14,796","74,627","4,565",552,"14,852"
2010-11,Rhode Island,"107,468",N/A,"30,124","47,075",N/A,"24,411",185,"2,701",N/A,N/A,"2,972"
2010-11,South Carolina,"336,949",N/A,"120,680","42,274","21,301","141,742","1,032","4,251",59,677,"4,933"
2010-11,South Dakota,"74,876",N/A,"48,983","9,134","7,566","7,878",711,604,N/A,N/A,N/A
2010-11,Tennessee,"466,926",N/A,"165,464","89,832","26,762","153,456","2,929","19,833",N/A,118,"8,532"
2010-11,Texas,"2,184,169",N/A,"745,399","152,183","49,343","1,098,175","8,602","62,266",N/A,"1,055","67,146"
2010-11,Utah,"357,069",N/A,"167,343","77,982","20,991","78,233","2,463","6,769","1,450",N/A,"1,838"
2010-11,Vermont,"60,254",N/A,"25,199","22,016",780,"11,395",607,N/A,7,N/A,250
2010-11,Virginia,"789,344",N/A,"252,945","141,580","80,800","289,033",754,"18,867",703,429,"4,233"
2010-11,Washington,"566,232",N/A,"220,802","50,316","11,446","262,689","1,110","11,073",787,46,"7,963"
2010-11,West Virginia,"235,400",N/A,"87,275","16,805","89,944","32,814",N/A,"6,605","1,674",228,55
2010-11,Wisconsin,"513,712",N/A,"218,455","88,376","24,013","172,444",36,"7,713",N/A,414,"2,261"
2010-11,Wyoming,"54,040",N/A,"14,902",N/A,181,"36,033",N/A,"2,924",N/A,N/A,N/A
2009-10,Total,"28,907,440",N/A,"9,391,275","4,545,581","2,439,882","10,987,079","60,536","817,381","111,200","24,933","529,573"
2009-10,Alabama,"422,232",N/A,"196,876","30,026","48,247","140,053",N/A,"5,616",N/A,144,"1,270"
2009-10,Alaska,"58,796",N/A,"49,597",889,"3,656","2,944",52,N/A,"1,103",N/A,555
2009-10,Arizona,"1,225,962",N/A,"147,863","11,152","639,856","384,553",N/A,"29,530","2,863",N/A,"10,145"
2009-10,Arkansas,"228,930",N/A,"109,721","17,919","4,200","89,744","1,271","1,284",660,N/A,"4,131"
2009-10,California,"3,977,290",N/A,"707,627","329,463","178,890","2,487,520","2,019","150,182","43,836","11,081","66,672"
2009-10,Colorado,"520,118",N/A,"207,855","40,708","86,400","153,124",232,"21,549","8,540",21,"1,689"
2009-10,Connecticut,"270,708",N/A,"81,610","75,791","7,076","79,518",682,"4,310",450,665,"20,606"
2009-10,Delaware,"72,475",N/A,"27,850","18,938",752,"21,514",293,N/A,N/A,N/A,"3,128"
2009-10,District of Columbia,"115,417",N/A,"12,217","88,576","13,450",N/A,32,N/A,N/A,N/A,"1,142"
2009-10,Florida,"1,616,453",N/A,"869,370","208,100","199,468","218,824",557,"77,552","4,525","1,987","36,070"
2009-10,Georgia,"761,563",N/A,"304,334","79,025","77,021","265,006",645,"17,485",N/A,36,"18,011"
2009-10,Hawaii,"100,064",N/A,"37,115","17,716","2,174","39,786",N/A,"2,559",N/A,20,694
2009-10,Idaho,"123,366",N/A,"69,264","24,666","3,146","22,506",N/A,"3,034",N/A,N/A,750
2009-10,Illinois,"1,418,311",N/A,"235,202","271,753","127,732","728,569","2,146","19,740",453,"1,067","31,649"
2009-10,Indiana,"614,397",N/A,"277,848","104,834","40,812","166,578",964,"16,335",158,N/A,"6,868"
2009-10,Iowa,"542,950",N/A,"82,096","77,516","235,988","142,958",294,"3,989",N/A,N/A,109
2009-10,Kansas,"305,981",N/A,"117,592","32,066","2,912","139,135","2,981","3,318","1,101",73,"6,803"
2009-10,Kentucky,"367,657",N/A,"141,419","41,590","27,887","141,090",N/A,"15,088",N/A,321,262
2009-10,Louisiana,"348,391",N/A,"169,821","32,292","6,429","119,160",147,"10,216",N/A,N/A,"10,326"
2009-10,Maine,"92,778",N/A,"42,115","22,511",N/A,"22,868",317,"2,838",N/A,N/A,"2,129"
2009-10,Maryland,"504,765",N/A,"200,672","66,465","13,445","201,533",N/A,"10,776",N/A,N/A,"11,874"
2009-10,Massachusetts,"657,341",N/A,"153,979","321,477","6,959","144,853","2,159","5,979",712,N/A,"21,223"
2009-10,Michigan,"945,354",N/A,"345,317","161,234","16,229","385,408",350,"8,035",N/A,73,"28,708"
2009-10,Minnesota,"616,018",N/A,"164,983","87,604","159,657","194,426",168,"3,081",N/A,577,"5,522"
2009-10,Mississippi,"231,929",N/A,"87,118","18,832",450,"117,176",N/A,"5,728",N/A,N/A,"2,625"
2009-10,Missouri,"596,386",N/A,"169,298","204,125","33,981","159,687","2,300","17,233","1,678",N/A,"8,084"
2009-10,Montana,"68,682",N/A,"43,663","5,230",N/A,"18,324",773,602,N/A,N/A,90
2009-10,Nebraska,"207,487",N/A,"67,552","43,024","3,984","89,501",284,"3,142",N/A,N/A,N/A
2009-10,Nevada,"184,454",N/A,"135,399","4,222","10,692","19,282",155,"10,377",N/A,N/A,"4,327"
2009-10,New Hampshire,"98,952",N/A,"34,672","32,943","7,060","21,395",649,N/A,N/A,N/A,"2,233"
2009-10,New Jersey,"603,645",N/A,"198,339","87,874","10,011","258,345","1,057","9,849","1,082",644,"36,444"
2009-10,New Mexico,"216,770",N/A,"74,541","1,500","9,686","122,630",N/A,"4,791",N/A,N/A,"3,622"
2009-10,New York,"1,693,635",N/A,"484,126","611,205","41,521","456,651","10,597","43,210","5,711","4,380","36,234"
2009-10,North Carolina,"754,519",N/A,"257,525","101,585","22,532","358,236",953,"6,867",N/A,329,"6,492"
2009-10,North Dakota,"68,226",N/A,"48,386","6,176","2,918","9,045",844,842,N/A,N/A,15
2009-10,Ohio,"994,767",N/A,"395,226","172,119","28,375","302,711","2,910","63,769","17,580",751,"11,326"
2009-10,Oklahoma,"320,244",N/A,"148,839","25,955","8,190","114,198",N/A,"6,132","11,678",N/A,"5,252"
2009-10,Oregon,"368,964",N/A,"124,466","37,622","9,309","185,231",22,"9,552",N/A,N/A,"2,762"
2009-10,Pennsylvania,"1,042,989",N/A,"324,775","332,752","50,767","225,105","14,586","72,951","4,514",538,"17,001"
2009-10,Rhode Island,"108,419",N/A,"30,641","46,943",N/A,"24,627",170,N/A,N/A,N/A,"6,038"
2009-10,South Carolina,"328,688",N/A,"117,855","41,409","18,977","141,086","1,019","3,540",58,N/A,"4,744"
2009-10,South Dakota,"70,717",N/A,"46,032","8,599","7,054","7,826",618,588,N/A,N/A,N/A
2009-10,Tennessee,"454,374",N/A,"161,625","85,137","27,572","150,208",358,"22,133",N/A,131,"7,210"
2009-10,Texas,"2,088,434",N/A,"713,528","148,797","42,934","1,037,936","2,457","72,294",N/A,"1,018","69,470"
2009-10,Utah,"333,924",N/A,"165,330","62,401","15,731","79,412","2,178","5,901","1,536",N/A,"1,435"
2009-10,Vermont,"60,872",N/A,"25,218","23,198",807,"10,830",598,N/A,13,N/A,208
2009-10,Virginia,"761,470",N/A,"244,749","127,823","80,600","283,328",749,"19,183",807,428,"3,803"
2009-10,Washington,"572,125",N/A,"223,578","50,395","11,898","265,679",998,"10,486",648,64,"8,379"
2009-10,West Virginia,"214,381",N/A,"86,562","17,111","71,427","31,125",N/A,"6,406","1,494",190,66
2009-10,Wisconsin,"501,870",N/A,"215,343","86,293","20,827","169,965",952,"6,718",N/A,395,"1,377"
2009-10,Wyoming,"53,200",N/A,"14,546",N/A,193,"35,870",N/A,"2,591",N/A,N/A,N/A
2008-09,Total,"27,253,481",N/A,"9,050,563","4,456,359","1,962,002","10,454,652","59,253","674,037","106,498","23,888","466,229"
2008-09,Alabama,"400,252",N/A,"193,955","29,136","44,465","127,088",N/A,"4,370",N/A,149,"1,089"
2008-09,Alaska,"54,322",N/A,"46,981",997,"2,025","2,743",43,N/A,"1,079",N/A,454
2008-09,Arizona,"1,094,710",N/A,"146,262","11,417","536,140","370,602",N/A,"19,216","2,410",N/A,"8,663"
2008-09,Arkansas,"214,260",N/A,"103,858","17,297","3,164","83,736","1,096","1,170",727,N/A,"3,212"
2008-09,California,"3,993,124",N/A,"738,779","318,035","151,711","2,545,970","2,878","112,168","39,388","10,549","73,646"
2008-09,Colorado,"467,184",N/A,"195,640","41,380","70,270","132,126",279,"15,863","8,462",21,"3,143"
2008-09,Connecticut,"256,017",N/A,"80,707","71,787","4,801","73,685","3,051","3,303",N/A,711,"17,972"
2008-09,Delaware,"69,444",N/A,"27,339","18,746",N/A,"20,853",304,N/A,N/A,N/A,"2,202"
2008-09,District of Columbia,"172,703",N/A,"10,220","85,984","75,466",N/A,40,N/A,N/A,N/A,993
2008-09,Florida,"1,483,995",N/A,"746,778","210,019","152,704","277,297",358,"50,264","6,593","1,592","38,390"
2008-09,Georgia,"671,206",N/A,"288,501","76,122","52,163","226,004",627,"11,270",N/A,N/A,"16,519"
2008-09,Hawaii,"93,410",N/A,"34,970","17,482","2,749","35,753",N/A,"1,913",N/A,34,509
2008-09,Idaho,"118,111",N/A,"67,821","24,610","2,105","19,733",N/A,"3,108",N/A,N/A,734
2008-09,Illinois,"1,365,451",N/A,"232,569","268,700","118,501","698,366","1,964","18,333",352,932,"25,734"
2008-09,Indiana,"558,005",N/A,"265,666","107,908","29,462","135,576",912,"12,627",184,N/A,"5,670"
2008-09,Iowa,"471,353",N/A,"81,039","77,194","179,671","129,681",269,"3,419",N/A,N/A,80
2008-09,Kansas,"297,580",N/A,"116,795","35,403","1,819","132,012","2,508","2,624",962,190,"5,267"
2008-09,Kentucky,"337,942",N/A,"139,303","39,217","16,930","126,656",N/A,"15,237",N/A,335,264
2008-09,Louisiana,"325,761",N/A,"170,119","29,639","4,966","95,221",180,"10,207","6,827",N/A,"8,602"
2008-09,Maine,"91,135",N/A,"42,733","22,195",N/A,"20,969",236,"2,985",N/A,72,"1,945"
2008-09,Maryland,"467,245",N/A,"192,355","66,167","4,369","185,157",N/A,"7,951",N/A,N/A,"11,246"
2008-09,Massachusetts,"633,794",N/A,"151,348","315,712","4,526","134,926","2,099","6,751",372,N/A,"18,060"
2008-09,Michigan,"905,005",N/A,"338,219","152,883","7,809","368,550",351,"9,241",N/A,22,"27,930"
2008-09,Minnesota,"567,405",N/A,"162,980","87,355","129,568","178,946",153,"3,097",N/A,875,"4,431"
2008-09,Mississippi,"211,160",N/A,"83,605","18,309",225,"102,351",N/A,"4,604",N/A,N/A,"2,066"
2008-09,Missouri,"555,364",N/A,"164,432","197,607","26,105","143,029","1,927","14,776","1,305",N/A,"6,183"
2008-09,Montana,"63,465",N/A,"41,305","4,999",N/A,"15,903",771,418,N/A,N/A,69
2008-09,Nebraska,"201,016",N/A,"66,153","41,680","3,469","86,805",236,"2,673",N/A,N/A,N/A
2008-09,Nevada,"172,942",N/A,"131,098","2,190","9,644","19,035",149,"7,165",N/A,N/A,"3,661"
2008-09,New Hampshire,"96,699",N/A,"34,181","31,259","7,186","21,484",521,N/A,N/A,99,"1,969"
2008-09,New Jersey,"564,968",N/A,"191,769","86,984","7,697","241,828","1,003","7,217",769,323,"27,378"
2008-09,New Mexico,"202,854",N/A,"71,113","1,375","9,175","116,867",N/A,"1,845",N/A,N/A,"2,479"
2008-09,New York,"1,636,062",N/A,"472,328","612,747","36,627","425,786","11,072","39,010","5,191","4,795","28,506"
2008-09,North Carolina,"702,411",N/A,"252,067","99,458","10,040","329,682",868,"5,315",N/A,285,"4,696"
2008-09,North Dakota,"64,097",N/A,"45,687","6,477","2,355","8,325",567,676,N/A,N/A,10
2008-09,Ohio,"921,475",N/A,"375,869","170,229","12,867","269,061","2,494","65,883","14,474",575,"10,023"
2008-09,Oklahoma,"300,872",N/A,"143,478","25,278","6,194","105,456",N/A,"6,509","10,457",N/A,"3,500"
2008-09,Oregon,"347,808",N/A,"118,191","36,497","8,064","173,320",N/A,"9,583",N/A,N/A,"2,153"
2008-09,Pennsylvania,"974,360",N/A,"316,801","325,989","30,218","208,161","13,379","59,586","3,316",523,"16,387"
2008-09,Rhode Island,"106,904",N/A,"30,176","46,401",N/A,"24,352",161,353,N/A,N/A,"5,461"
2008-09,South Carolina,"302,557",N/A,"114,831","45,529","7,881","127,752",978,"2,310",N/A,N/A,"3,276"
2008-09,South Dakota,"66,671",N/A,"44,377","8,886","5,749","6,576",549,534,N/A,N/A,N/A
2008-09,Tennessee,"415,086",N/A,"156,726","81,738","15,488","133,277",328,"22,010",N/A,126,"5,393"
2008-09,Texas,"1,925,498",N/A,"674,309","148,390","27,270","950,289","1,758","67,843",N/A,912,"54,727"
2008-09,Utah,"308,936",N/A,"155,153","56,722","14,171","73,365","1,843","4,903","1,335",N/A,"1,444"
2008-09,Vermont,"57,607",N/A,"24,284","21,725",889,"9,923",595,N/A,16,N/A,175
2008-09,Virginia,"683,934",N/A,"241,491","109,147","47,377","264,547","1,550","15,890",869,310,"2,753"
2008-09,Washington,"547,383",N/A,"218,241","48,472","11,430","255,734",920,"5,906",581,57,"6,042"
2008-09,West Virginia,"184,326",N/A,"82,373","16,524","52,846","26,812",N/A,"4,750",829,146,46
2008-09,Wisconsin,"473,834",N/A,"208,607","86,362","13,483","156,914",236,"6,900",N/A,255,"1,077"
2008-09,Wyoming,"55,778",N/A,"16,981",N/A,168,"36,368",N/A,"2,261",N/A,N/A,N/A
2007-09,Total,"25,886,779",N/A,"8,702,209","4,386,354","1,648,508","9,979,096","61,024","567,726","96,963","17,466","427,433"
2007-09,Alabama,"371,246",N/A,"193,934","28,306","27,611","118,752",N/A,"1,918",N/A,130,595
2007-09,Alaska,"54,722",N/A,"47,645",924,"1,515","3,049",N/A,N/A,"1,083",N/A,506
2007-09,Arizona,"1,037,613",N/A,"139,503","11,496","489,201","365,596",N/A,"21,742","1,894",N/A,"8,181"
2007-09,Arkansas,"203,279",N/A,"99,360","16,692","2,445","78,921","1,099","1,065",838,N/A,"2,859"
2007-09,California,"3,690,726",N/A,"733,224","325,354","133,535","2,304,829","3,063","88,835","33,505","5,663","62,718"
2007-09,Colorado,"461,450",N/A,"194,747","41,397","71,554","127,130",290,"15,649","9,233",7,"1,443"
2007-09,Connecticut,"245,752",N/A,"78,964","70,922","3,694","69,458","2,701","1,869",N/A,678,"17,466"
2007-09,Delaware,"67,698",N/A,"27,311","17,858",N/A,"20,356",265,N/A,N/A,N/A,"1,908"
2007-09,District of Columbia,"159,789",N/A,"10,653","85,686","61,061",N/A,38,N/A,N/A,N/A,"2,351"
2007-09,Florida,"1,391,611",N/A,"604,762","199,970","125,196","382,760",270,"40,830","6,580","1,333","29,910"
2007-09,Georgia,"630,254",N/A,"271,471","73,528","40,966","216,488","1,304","9,377",N/A,N/A,"17,120"
2007-09,Hawaii,"90,649",N/A,"34,118","18,087","2,978","33,273",N/A,"1,492",N/A,27,674
2007-09,Idaho,"114,421",N/A,"67,080","24,053","1,716","18,815",N/A,"2,223",N/A,N/A,534
2007-09,Illinois,"1,325,842",N/A,"233,395","265,506","103,206","680,867","2,082","17,304",316,816,"22,350"
2007-09,Indiana,"526,513",N/A,"257,463","108,944","23,997","119,597",877,"10,646",160,N/A,"4,829"
2007-09,Iowa,"388,157",N/A,"79,998","76,359","101,201","127,090",226,"3,212",N/A,N/A,71
2007-09,Kansas,"288,012",N/A,"116,394","35,227","1,082","124,617","2,129","2,624","2,293",83,"3,563"
2007-09,Kentucky,"332,104",N/A,"138,750","37,457","14,401","126,723",N/A,"14,135",N/A,371,267
2007-09,Louisiana,"313,086",N/A,"167,039","28,231","4,696","90,480",162,"8,865","4,074",N/A,"9,539"
2007-09,Maine,"89,101",N/A,"43,877","20,909",N/A,"19,474",228,"2,887",N/A,81,"1,645"
2007-09,Maryland,"444,403",N/A,"183,451","65,567","4,529","175,897",N/A,"5,155",N/A,N/A,"9,804"
2007-09,Massachusetts,"615,031",N/A,"148,195","309,763","3,937","128,304","2,893","6,671",395,N/A,"14,873"
2007-09,Michigan,"881,616",N/A,"339,243","149,478","7,769","353,343",315,"7,632",N/A,N/A,"23,836"
2007-09,Minnesota,"531,599",N/A,"159,836","87,275","104,869","171,083",189,"3,461",N/A,736,"4,150"
2007-09,Mississippi,"203,133",N/A,"83,544","17,625",N/A,"96,751",N/A,"3,379",N/A,N/A,"1,834"
2007-09,Missouri,"535,542",N/A,"160,588","195,799","20,119","136,025","2,295","14,253","1,291",N/A,"5,172"
2007-09,Montana,"60,920",N/A,"40,536","4,828",N/A,"14,420",678,391,N/A,N/A,67
2007-09,Nebraska,"199,248",N/A,"65,412","41,404","3,440","86,116",258,"2,468",N/A,N/A,150
2007-09,Nevada,"169,087",N/A,"130,169","2,019","9,962","18,621",126,"5,219",N/A,N/A,"2,971"
2007-09,New Hampshire,"93,835",N/A,"34,398","31,180","5,331","19,194",520,"1,232",N/A,127,"1,853"
2007-09,New Jersey,"544,244",N/A,"187,362","86,268","6,904","230,695","1,117","5,975",735,277,"24,911"
2007-09,New Mexico,"192,359",N/A,"68,859","3,514","8,671","108,500",N/A,737,N/A,N/A,"2,078"
2007-09,New York,"1,579,206",N/A,"459,945","594,841","34,644","405,245","10,924","40,312","4,785","3,813","24,697"
2007-09,North Carolina,"652,542",N/A,"244,619","98,724","7,997","292,051",969,"4,214",N/A,228,"3,740"
2007-09,North Dakota,"61,252",N/A,"43,295","6,482","1,905","8,154",790,611,N/A,N/A,15
2007-09,Ohio,"876,692",N/A,"351,736","167,966","12,000","267,990","2,423","53,481","12,201",425,"8,470"
2007-09,Oklahoma,"294,516",N/A,"142,125","25,332","5,536","101,699",N/A,"5,588","10,751",N/A,"3,485"
2007-09,Oregon,"324,469",N/A,"113,801","35,029","8,521","156,493",N/A,"7,907",N/A,N/A,"2,718"
2007-09,Pennsylvania,"952,340",N/A,"312,356","320,977","33,356","198,163","13,763","55,412","2,896",520,"14,897"
2007-09,Rhode Island,"105,894",N/A,"29,919","45,688",N/A,"23,867",150,987,N/A,N/A,"5,283"
2007-09,South Carolina,"290,090",N/A,"114,009","45,937","5,831","118,889",974,"1,999",N/A,N/A,"2,451"
2007-09,South Dakota,"65,041",N/A,"42,864","9,104","5,581","6,376",664,452,N/A,N/A,N/A
2007-09,Tennessee,"398,130",N/A,"154,822","79,435","13,975","125,642",308,"18,263",N/A,102,"5,583"
2007-09,Texas,"1,827,318",N/A,"655,630","147,728","23,190","890,640","1,701","44,794",N/A,809,"62,826"
2007-09,Utah,"292,184",N/A,"146,075","55,871","12,916","68,234","1,779","4,260","1,283",N/A,"1,766"
2007-09,Vermont,"56,349",N/A,"23,480","21,817",822,"9,443",588,N/A,19,N/A,180
2007-09,Virginia,"649,580",N/A,"239,412","99,782","41,128","251,178","1,054","12,844",843,716,"2,623"
2007-09,Washington,"530,235",N/A,"182,732","49,078","11,652","275,543",810,"3,167",592,47,"6,614"
2007-09,West Virginia,"163,058",N/A,"80,414","15,949","33,494","27,609",N/A,"4,150","1,196",181,65
2007-09,Wisconsin,"462,731",N/A,"206,908","84,988","10,322","152,129","1,002","5,294",N/A,296,"1,792"
2007-09,Wyoming,"52,110",N/A,"16,786",N/A,52,"32,527",N/A,"2,745",N/A,N/A,N/A
2006-07,Total,"25,043,867",N/A,"8,584,566","4,291,396","1,302,002","9,754,336","59,248","531,905","84,265","21,068","415,081"
2006-07,Alabama,"342,668",N/A,"188,571","27,114","8,527","116,503",N/A,"1,202",N/A,120,631
2006-07,Alaska,"53,577",N/A,"46,307",964,882,"3,808",N/A,N/A,"1,123",N/A,493
2006-07,Arizona,"886,219",N/A,"154,409","10,952","323,205","366,980",N/A,"21,220","1,555",N/A,"7,898"
2006-07,Arkansas,"197,516",N/A,"98,856","16,395","1,847","74,570","1,367",998,873,N/A,"2,610"
2006-07,California,"3,539,767",N/A,"709,701","320,788","112,201","2,233,528","1,758","70,902","15,739","7,427","67,723"
2006-07,Colorado,"453,213",N/A,"201,789","40,982","57,978","126,205",278,"13,669","11,028",N/A,"1,284"
2006-07,Connecticut,"241,048",N/A,"78,740","71,835","3,476","66,967","2,807","1,322",N/A,681,"15,220"
2006-07,Delaware,"65,762",N/A,"27,358","17,115",N/A,"19,565",260,N/A,N/A,N/A,"1,464"
2006-07,District of Columbia,"145,790",N/A,"12,623","83,549","47,593",N/A,40,N/A,N/A,N/A,"1,985"
2006-07,Florida,"1,345,260",N/A,"562,750","200,361","115,208","388,503",214,"40,437","10,719","1,344","25,724"
2006-07,Georgia,"607,820",N/A,"260,310","71,914","35,272","212,916","1,295","8,622",N/A,N/A,"17,491"
2006-07,Hawaii,"89,155",N/A,"33,807","18,449","2,822","31,897",N/A,"1,525",N/A,28,627
2006-07,Idaho,"111,281",N/A,"65,508","22,195","1,652","19,274",N/A,"2,152",N/A,N/A,500
